value,segments,language,borrowing_score
rahang,"['r', 'a', 'h', 'a', 'ŋ']",Indonesian,0.0
pipi,"['p', 'i', 'p', 'i']",Indonesian,0.0
dagu,"['d', 'a', 'g', 'u']",Indonesian,0.0
mata,"['m', 'a', 't', 'a']",Indonesian,0.0
alis (mata),"['a', 'l', 'i', 's', '+', 'm', 'a', 't', 'a']",Indonesian,0.0
kelopak mata,"['k', 'e', 'l', 'o', 'p', 'a', 'k', '+', 'm', 'a', 't', 'a']",Indonesian,0.0
bulu mata,"['b', 'u', 'l', 'u', '+', 'm', 'a', 't', 'a']",Indonesian,0.0
berkedip,"['b', 'e', 'r', 'k', 'e', 'd', 'i', 'p']",Indonesian,0.0
telinga,"['t', 'e', 'l', 'i', 'ŋ', 'a']",Indonesian,0.0
kuping,"['k', 'u', 'p', 'i', 'ŋ']",Indonesian,1.0
cuping,"['tʃ', 'u', 'p', 'i', 'ŋ']",Indonesian,0.0
kotoran telinga,"['k', 'o', 't', 'o', 'r', 'a', 'n', '+', 't', 'e', 'l', 'i', 'ŋ', 'a']",Indonesian,0.0
tahi kuping,"['t', 'a', 'h', 'i', '+', 'k', 'u', 'p', 'i', 'ŋ']",Indonesian,0.0
hidung,"['h', 'i', 'd', 'u', 'ŋ']",Indonesian,0.0
lubang hidung,"['l', 'u', 'b', 'a', 'ŋ', '+', 'h', 'i', 'd', 'u', 'ŋ']",Indonesian,0.0
rongga hidung,"['r', 'o', 'ŋ', 'g', 'a', '+', 'h', 'i', 'd', 'u', 'ŋ']",Indonesian,0.0
ingus,"['i', 'ŋ', 'u', 's']",Indonesian,0.0
mulut,"['m', 'u', 'l', 'u', 't']",Indonesian,0.0
paruh,"['p', 'a', 'r', 'u', 'h']",Indonesian,0.0
bibir,"['b', 'i', 'b', 'i', 'r']",Indonesian,0.0
lidah,"['l', 'i', 'd', 'a', 'h']",Indonesian,0.0
gigi,"['g', 'i', 'g', 'i']",Indonesian,0.0
gusi,"['g', 'u', 's', 'i']",Indonesian,0.0
(gigi) geraham,"['g', 'i', 'g', 'i', '+', 'g', 'e', 'r', 'a', 'h', 'a', 'm']",Indonesian,0.25
léhér,"['l', 'é/e', 'h', 'é/e', 'r']",Indonesian,0.0
tengkuk,"['t', 'e', 'ŋ', 'k', 'u', 'ʔ']",Indonesian,0.0
tenggorokan,"['t', 'e', 'ŋ', 'g', 'o', 'r', 'o', 'k', 'a', 'n']",Indonesian,0.0
kerongkongan,"['k', 'e', 'r', 'o', 'ŋ', 'k', 'o', 'ŋ', 'a', 'n']",Indonesian,0.75
bahu,"['b', 'a', 'h', 'u']",Indonesian,0.75
pundak,"['p', 'u', 'n', 'd', 'a', 'ʔ']",Indonesian,1.0
tulang belikat,"['t', 'u', 'l', 'a', 'ŋ', '+', 'b', 'e', 'l', 'i', 'k', 'a', 't']",Indonesian,0.0
tulang selangka,"['t', 'u', 'l', 'a', 'ŋ', '+', 's', 'e', 'l', 'a', 'ŋ', 'k', 'a']",Indonesian,0.0
lengan,"['l', 'e', 'ŋ', 'a', 'n']",Indonesian,0.0
ketiak,"['k', 'e', 't', 'i', 'a', 'ʔ']",Indonesian,0.0
kéték,"['k', 'é/e', 't', 'é/e', 'ʔ']",Indonesian,1.0
siku,"['s', 'i', 'k', 'u']",Indonesian,0.0
pergelangan tangan,"['p', 'e', 'r', 'g', 'e', 'l', 'a', 'ŋ', 'a', 'n', '+', 't', 'a', 'ŋ', 'a', 'n']",Indonesian,0.0
tangan,"['t', 'a', 'ŋ', 'a', 'n']",Indonesian,0.0
tapak/telapak tangan,"['t', 'a', 'p', 'a', 'k', '+', 't', 'a', 'ŋ', 'a', 'n']",Indonesian,0.0
jari,"['dʒ', 'a', 'r', 'i']",Indonesian,0.0
jempol,"['dʒ', 'e', 'm', 'p', 'o', 'l']",Indonesian,1.0
ibu jari,"['i', 'b', 'u', '+', 'dʒ', 'a', 'r', 'i']",Indonesian,0.0
kuku,"['k', 'u', 'k', 'u']",Indonesian,0.0
cakar,"['tʃ', 'a', 'k', 'a', 'r']",Indonesian,0.0
kaki,"['k', 'a', 'k', 'i']",Indonesian,0.0
paha,"['p', 'a', 'h', 'a']",Indonesian,0.0
betis,"['b', 'e', 't', 'i', 's']",Indonesian,0.0
lutut,"['l', 'u', 't', 'u', 't']",Indonesian,0.0
kaki,"['k', 'a', 'k', 'i']",Indonesian,0.0
mata kaki,"['m', 'a', 't', 'a', '+', 'k', 'a', 'k', 'i']",Indonesian,0.0
tumit,"['t', 'u', 'm', 'i', 't']",Indonesian,0.0
jejak,"['dʒ', 'e', 'dʒ', 'a', 'ʔ']",Indonesian,0.25
jari kaki,"['dʒ', 'a', 'r', 'i', '+', 'k', 'a', 'k', 'i']",Indonesian,0.0
sayap,"['s', 'a', 'j', 'a', 'p']",Indonesian,0.0
bulu (burung),"['b', 'u', 'l', 'u', '+', 'b', 'u', 'r', 'u', 'ŋ']",Indonesian,0.0
dada,"['d', 'a', 'd', 'a']",Indonesian,0.0
susu (1),"['s', 'u', 's', 'u']",Indonesian,0.0
payudara,"['p', 'a', 'j', 'u', 'd', 'a', 'r', 'a']",Indonesian,1.0
puting,"['p', 'u', 't', 'i', 'ŋ']",Indonesian,0.0
ambing,"['a', 'm', 'b', 'i', 'ŋ']",Indonesian,0.0
pusar,"['p', 'u', 's', 'a', 'r']",Indonesian,0.75
jantung,"['dʒ', 'a', 'n', 't', 'u', 'ŋ']",Indonesian,0.0
paru-paru,"['p', 'a', 'r', 'u', '+', 'p', 'a', 'r', 'u']",Indonesian,0.0
léver,"['l', 'é/e', 'v', 'e', 'r']",Indonesian,1.0
hati,"['h', 'a', 't', 'i']",Indonesian,0.0
ginjal,"['g', 'i', 'ɲ', 'a', 'l']",Indonesian,0.0
limpa,"['l', 'i', 'm', 'p', 'a']",Indonesian,0.0
lambung,"['l', 'a', 'm', 'b', 'u', 'ŋ']",Indonesian,0.0
maag,"['m', 'aː', 'g']",Indonesian,1.0
perut,"['p', 'e', 'r', 'u', 't']",Indonesian,0.0
usus,"['u', 's', 'u', 's']",Indonesian,0.75
pinggang,"['p', 'i', 'ŋ', 'g', 'a', 'ŋ']",Indonesian,0.0
pinggul,"['p', 'i', 'ŋ', 'g', 'u', 'l']",Indonesian,0.0
pantat,"['p', 'a', 'n', 't', 'a', 't']",Indonesian,0.0
rahim,"['r', 'a', 'h', 'i', 'm']",Indonesian,1.0
"kandung, kandungan","['k', 'a', 'n', 'd', 'u', 'ŋ']",Indonesian,0.5
biji kemaluan,"['b', 'i', 'dʒ', 'i', '+', 'k', 'e', 'm', 'a', 'l', 'u', 'a', 'n']",Indonesian,0.0
buah pelir,"['b', 'u', 'a', 'h', '+', 'p', 'e', 'l', 'i', 'r']",Indonesian,0.0
testis,"['t', 'e', 's', 't', 'i', 's']",Indonesian,1.0
pénis,"['p', 'é/e', 'n', 'i', 's']",Indonesian,1.0
kontol,"['k', 'o', 'n', 't', 'o', 'l']",Indonesian,0.75
pelir,"['p', 'e', 'l', 'i', 'r']",Indonesian,0.0
bernafas,"['b', 'e', 'r', 'n', 'a', 'f', 'a', 's']",Indonesian,1.0
menguap,"['m', 'e', 'ŋ', 'u', 'a', 'p']",Indonesian,0.0
cegukan,"['tʃ', 'e', 'g', 'u', 'k', 'a', 'n']",Indonesian,0.0
batuk,"['b', 'a', 't', 'u', 'ʔ']",Indonesian,0.0
bersin,"['b', 'e', 'r', 's', 'i', 'n']",Indonesian,0.0
berkeringat,"['b', 'e', 'r', 'k', 'e', 'r', 'i', 'ŋ', 'a', 't']",Indonesian,0.0
meludah,"['m', 'e', 'l', 'u', 'd', 'a', 'h']",Indonesian,0.0
muntah,"['m', 'u', 'n', 't', 'a', 'h']",Indonesian,0.25
menggigit,"['m', 'e', 'ŋ', 'g', 'i', 'g', 'i', 't']",Indonesian,0.0
menjilat,"['m', 'e', 'ɲ', 'i', 'l', 'a', 't']",Indonesian,0.0
berliur,"['b', 'e', 'r', 'l', 'i', 'u', 'r']",Indonesian,0.0
mengiler,"['m', 'e', 'ŋ', 'i', 'l', 'e', 'r']",Indonesian,1.0
tidur,"['t', 'i', 'd', 'u', 'r']",Indonesian,0.0
mendengkur,"['m', 'e', 'n', 'd', 'e', 'ŋ', 'k', 'u', 'r']",Indonesian,0.0
mimpi,"['m', 'i', 'm', 'p', 'i']",Indonesian,0.0
bangun,"['b', 'a', 'ŋ', 'u', 'n']",Indonesian,0.0
kentut,"['k', 'e', 'n', 't', 'u', 't']",Indonesian,0.0
buang angin,"['b', 'u', 'a', 'ŋ', '+', 'a', 'ŋ', 'i', 'n']",Indonesian,0.0
kencing,"['k', 'e', 'ɲ', 'i', 'ŋ']",Indonesian,0.0
bérak,"['b', 'é/e', 'r', 'a', 'ʔ']",Indonesian,0.0
bersetubuh,"['b', 'e', 'r', 's', 'e', 't', 'u', 'b', 'u', 'h']",Indonesian,0.0
menggigil,"['m', 'e', 'ŋ', 'g', 'i', 'g', 'i', 'l']",Indonesian,0.0
mandi,"['m', 'a', 'n', 'd', 'i']",Indonesian,0.0
memperanakkan,"['m', 'e', 'm', 'p', 'e', 'r', 'a', 'n', 'a', 'k', 'k', 'a', 'n']",Indonesian,0.0
lahir,"['l', 'a', 'h', 'i', 'r']",Indonesian,1.0
hamil,"['h', 'a', 'm', 'i', 'l']",Indonesian,1.0
bunting,"['b', 'u', 'n', 't', 'i', 'ŋ']",Indonesian,0.0
mengandung,"['m', 'e', 'ŋ', 'a', 'n', 'd', 'u', 'ŋ']",Indonesian,0.0
hidup,"['h', 'i', 'd', 'u', 'p']",Indonesian,0.0
mati,"['m', 'a', 't', 'i']",Indonesian,0.0
tenggelam,"['t', 'e', 'ŋ', 'g', 'e', 'l', 'a', 'm']",Indonesian,0.0
membunuh,"['m', 'e', 'm', 'b', 'u', 'n', 'u', 'h']",Indonesian,0.0
mayat,"['m', 'a', 'j', 'a', 't']",Indonesian,1.0
jasad,"['dʒ', 'a', 's', 'a', 'd']",Indonesian,1.0
jenazah,"['dʒ', 'e', 'n', 'a', 'z', 'a', 'h']",Indonesian,1.0
mengubur(kan),"['m', 'e', 'ŋ', 'u', 'b', 'u', 'r', 'k', 'a', 'n']",Indonesian,1.0
"kubur, kuburan","['k', 'u', 'b', 'u', 'r']",Indonesian,1.0
makam,"['m', 'a', 'k', 'a', 'm']",Indonesian,1.0
kuat,"['k', 'u', 'a', 't']",Indonesian,0.75
lemah,"['l', 'e', 'm', 'a', 'h']",Indonesian,0.0
séhat,"['s', 'é/e', 'h', 'a', 't']",Indonesian,1.0
sakit,"['s', 'a', 'k', 'i', 't']",Indonesian,0.0
demam,"['d', 'e', 'm', 'a', 'm']",Indonesian,0.0
gondok,"['g', 'o', 'n', 'd', 'o', 'ʔ']",Indonesian,0.5
flu,"['f', 'l', 'u']",Indonesian,1.0
pilek,"['p', 'i', 'l', 'e', 'ʔ']",Indonesian,1.0
"selesma, selésma","['s', 'e', 'l', 'e', 's', 'm', 'a']",Indonesian,1.0
masuk angin,"['m', 'a', 's', 'u', 'k', '+', 'a', 'ŋ', 'i', 'n']",Indonesian,0.5
luka,"['l', 'u', 'k', 'a']",Indonesian,0.0
memar,"['m', 'e', 'm', 'a', 'r']",Indonesian,0.0
bengkak,"['b', 'e', 'ŋ', 'k', 'a', 'ʔ']",Indonesian,0.0
(rasa) gatal,"['r', 'a', 's', 'a', '+', 'g', 'a', 't', 'a', 'l']",Indonesian,0.0
lepuh,"['l', 'e', 'p', 'u', 'h']",Indonesian,0.0
bisul,"['b', 'i', 's', 'u', 'l']",Indonesian,0.0
nanah,"['n', 'a', 'n', 'a', 'h']",Indonesian,0.0
parut,"['p', 'a', 'r', 'u', 't']",Indonesian,0.0
meyembuhkan,"['m', 'e', 'j', 'e', 'm', 'b', 'u', 'h', 'k', 'a', 'n']",Indonesian,0.0
dokter,"['d', 'o', 'k', 't', 'e', 'r']",Indonesian,1.0
obat,"['o', 'b', 'a', 't']",Indonesian,0.0
racun,"['r', 'a', 'tʃ', 'u', 'n']",Indonesian,0.0
"capék, capai","['tʃ', 'a', 'p', 'é/e', 'ʔ']",Indonesian,1.0
lelah,"['l', 'e', 'l', 'a', 'h']",Indonesian,0.0
beristirahat,"['b', 'e', 'r', 'i', 's', 't', 'i', 'r', 'a', 'h', 'a', 't']",Indonesian,1.0
malas,"['m', 'a', 'l', 'a', 's']",Indonesian,0.0
botak,"['b', 'o', 't', 'a', 'ʔ']",Indonesian,0.0
pincang,"['p', 'i', 'ɲ', 'a', 'ŋ']",Indonesian,0.0
tuli,"['t', 'u', 'l', 'i']",Indonesian,0.0
budek,"['b', 'u', 'd', 'e', 'ʔ']",Indonesian,1.0
bisu,"['b', 'i', 's', 'u']",Indonesian,0.0
buta,"['b', 'u', 't', 'a']",Indonesian,0.0
mabuk,"['m', 'a', 'b', 'u', 'ʔ']",Indonesian,0.0
telanjang,"['t', 'e', 'l', 'a', 'ɲ', 'a', 'ŋ']",Indonesian,0.0
makan,"['m', 'a', 'k', 'a', 'n']",Indonesian,0.0
makanan,"['m', 'a', 'k', 'a', 'n', 'a', 'n']",Indonesian,0.0
masak,"['m', 'a', 's', 'a', 'ʔ']",Indonesian,0.0
mentah,"['m', 'e', 'n', 't', 'a', 'h']",Indonesian,0.0
matang,"['m', 'a', 't', 'a', 'ŋ']",Indonesian,0.5
masak,"['m', 'a', 's', 'a', 'ʔ']",Indonesian,0.0
mentah,"['m', 'e', 'n', 't', 'a', 'h']",Indonesian,0.0
basi,"['b', 'a', 's', 'i']",Indonesian,0.0
busuk,"['b', 'u', 's', 'u', 'ʔ']",Indonesian,0.0
minum,"['m', 'i', 'n', 'u', 'm']",Indonesian,0.0
lapar,"['l', 'a', 'p', 'a', 'r']",Indonesian,0.0
kelaparan,"['k', 'e', 'l', 'a', 'p', 'a', 'r', 'a', 'n']",Indonesian,0.0
paceklik,"['p', 'a', 'tʃ', 'e', 'k', 'l', 'i', 'ʔ']",Indonesian,1.0
haus,"['h', 'a', 'u', 's']",Indonesian,0.0
meng(h)isap,"['m', 'e', 'ŋ', 'h', 'i', 's', 'a', 'p']",Indonesian,0.0
mengunyah,"['m', 'e', 'ŋ', 'u', 'ɲ', 'a', 'h']",Indonesian,0.0
mamah,"['m', 'a', 'm', 'a', 'h']",Indonesian,0.0
menelan,"['m', 'e', 'n', 'e', 'l', 'a', 'n']",Indonesian,0.0
mencekik,"['m', 'e', 'ɲ', 'e', 'k', 'i', 'ʔ']",Indonesian,0.0
memasak,"['m', 'e', 'm', 'a', 's', 'a', 'ʔ']",Indonesian,0.0
mendidih,"['m', 'e', 'n', 'd', 'i', 'd', 'i', 'h']",Indonesian,0.0
menggoréng,"['m', 'e', 'ŋ', 'g', 'o', 'r', 'é/e', 'ŋ']",Indonesian,0.0
memanggang,"['m', 'e', 'm', 'a', 'ŋ', 'g', 'a', 'ŋ']",Indonesian,0.0
memanggang,"['m', 'e', 'm', 'a', 'ŋ', 'g', 'a', 'ŋ']",Indonesian,0.0
open,"['o', 'p', 'e', 'n']",Indonesian,1.0
tungku,"['t', 'u', 'ŋ', 'k', 'u']",Indonesian,0.0
dapur,"['d', 'a', 'p', 'u', 'r']",Indonesian,0.0
panci,"['p', 'a', 'ɲ', 'i']",Indonesian,0.75
periuk,"['p', 'e', 'r', 'i', 'u', 'ʔ']",Indonesian,0.0
belanga,"['b', 'e', 'l', 'a', 'ŋ', 'a']",Indonesian,0.0
cérét,"['tʃ', 'é/e', 'r', 'é/e', 't']",Indonesian,1.0
téko,"['t', 'é/e', 'k', 'o']",Indonesian,1.0
cérék,"['tʃ', 'é/e', 'r', 'é/e', 'ʔ']",Indonesian,0.0
penggoréngan,"['p', 'e', 'ŋ', 'g', 'o', 'r', 'é/e', 'ŋ', 'a', 'n']",Indonesian,0.75
panci (goréng),"['p', 'a', 'ɲ', 'i', '+', 'g', 'o', 'r', 'é/e', 'ŋ']",Indonesian,1.0
kuali,"['k', 'u', 'a', 'l', 'i']",Indonesian,0.75
wajan,"['w', 'a', 'dʒ', 'a', 'n']",Indonesian,1.0
piring,"['p', 'i', 'r', 'i', 'ŋ']",Indonesian,0.75
pinggan,"['p', 'i', 'ŋ', 'g', 'a', 'n']",Indonesian,1.0
piring,"['p', 'i', 'r', 'i', 'ŋ']",Indonesian,0.75
"mangkuk, mangkok","['m', 'a', 'ŋ', 'k', 'u', 'ʔ']",Indonesian,0.0
kendi,"['k', 'e', 'n', 'd', 'i']",Indonesian,0.75
picer,"['p', 'i', 'tʃ', 'e', 'r']",Indonesian,1.0
cangkir,"['tʃ', 'a', 'ŋ', 'k', 'i', 'r']",Indonesian,0.5
gelas,"['g', 'e', 'l', 'a', 's']",Indonesian,1.0
cawan,"['tʃ', 'a', 'w', 'a', 'n']",Indonesian,1.0
alas cangkir,"['a', 'l', 'a', 's', '+', 'tʃ', 'a', 'ŋ', 'k', 'i', 'r']",Indonesian,0.0
séndok,"['s', 'é/e', 'n', 'd', 'o', 'ʔ']",Indonesian,0.75
pisau,"['p', 'i', 's', 'aʊ']",Indonesian,0.0
garpu,"['g', 'a', 'r', 'p', 'u']",Indonesian,1.0
tang,"['t', 'a', 'ŋ']",Indonesian,1.0
sarapan,"['s', 'a', 'r', 'a', 'p', 'a', 'n']",Indonesian,1.0
makan pagi,"['m', 'a', 'k', 'a', 'n', '+', 'p', 'a', 'g', 'i']",Indonesian,0.0
makan siang,"['m', 'a', 'k', 'a', 'n', '+', 's', 'i', 'a', 'ŋ']",Indonesian,0.0
makan malam,"['m', 'a', 'k', 'a', 'n', '+', 'm', 'a', 'l', 'a', 'm']",Indonesian,0.0
mengupas,"['m', 'e', 'ŋ', 'u', 'p', 'a', 's']",Indonesian,0.0
menyaring,"['m', 'e', 'ɲ', 'a', 'r', 'i', 'ŋ']",Indonesian,0.0
meniriskan,"['m', 'e', 'n', 'i', 'r', 'i', 's', 'k', 'a', 'n']",Indonesian,0.0
mengerik,"['m', 'e', 'ŋ', 'e', 'r', 'i', 'ʔ']",Indonesian,0.0
mengeruk,"['m', 'e', 'ŋ', 'e', 'r', 'u', 'ʔ']",Indonesian,0.0
mengaduk,"['m', 'e', 'ŋ', 'a', 'd', 'u', 'ʔ']",Indonesian,0.0
mencampur,"['m', 'e', 'ɲ', 'a', 'm', 'p', 'u', 'r']",Indonesian,0.0
roti,"['r', 'o', 't', 'i']",Indonesian,1.0
adonan,"['a', 'd', 'o', 'n', 'a', 'n']",Indonesian,1.0
"meremas, meramas","['m', 'e', 'r', 'e', 'm', 'a', 's']",Indonesian,0.0
tepung,"['t', 'e', 'p', 'u', 'ŋ']",Indonesian,0.0
menumbuk,"['m', 'e', 'n', 'u', 'm', 'b', 'u', 'ʔ']",Indonesian,0.0
menggiling,"['m', 'e', 'ŋ', 'g', 'i', 'l', 'i', 'ŋ']",Indonesian,0.0
menghancurkan,"['m', 'e', 'ŋ', 'h', 'a', 'ɲ', 'u', 'r', 'k', 'a', 'n']",Indonesian,0.0
gilingan,"['g', 'i', 'l', 'i', 'ŋ', 'a', 'n']",Indonesian,0.0
lesung,"['l', 'e', 's', 'u', 'ŋ']",Indonesian,0.0
alu,"['a', 'l', 'u']",Indonesian,0.0
daging,"['d', 'a', 'g', 'i', 'ŋ']",Indonesian,0.5
sosis,"['s', 'o', 's', 'i', 's']",Indonesian,1.0
"sop, sup","['s', 'o', 'p']",Indonesian,1.0
soto,"['s', 'o', 't', 'o']",Indonesian,1.0
"sayur, sayuran","['s', 'a', 'j', 'u', 'r']",Indonesian,0.0
kacang,"['k', 'a', 'tʃ', 'a', 'ŋ']",Indonesian,0.0
kentang,"['k', 'e', 'n', 't', 'a', 'ŋ']",Indonesian,1.0
buah,"['b', 'u', 'a', 'h']",Indonesian,0.0
ikat,"['i', 'k', 'a', 't']",Indonesian,0.0
gugus,"['g', 'u', 'g', 'u', 's']",Indonesian,0.0
tandan,"['t', 'a', 'n', 'd', 'a', 'n']",Indonesian,0.0
(buah) ara,"['b', 'u', 'a', 'h', '+', 'a', 'r', 'a']",Indonesian,0.0
(buah) anggur,"['b', 'u', 'a', 'h', '+', 'a', 'ŋ', 'g', 'u', 'r']",Indonesian,1.0
kacang,"['k', 'a', 'tʃ', 'a', 'ŋ']",Indonesian,0.0
(buah) zaitun,"['b', 'u', 'a', 'h', '+', 'z', 'a', 'i', 't', 'u', 'n']",Indonesian,1.0
olive,"['o', 'l', 'i', 'v', 'e']",Indonesian,1.0
minyak,"['m', 'i', 'ɲ', 'a', 'ʔ']",Indonesian,0.0
lemak,"['l', 'e', 'm', 'a', 'ʔ']",Indonesian,0.0
garam,"['g', 'a', 'r', 'a', 'm']",Indonesian,0.0
lada,"['l', 'a', 'd', 'a']",Indonesian,0.0
merica,"['m', 'e', 'r', 'i', 'tʃ', 'a']",Indonesian,1.0
"cabé, cabai","['tʃ', 'a', 'b', 'é/e']",Indonesian,1.0
lombok,"['l', 'o', 'm', 'b', 'o', 'ʔ']",Indonesian,1.0
madu,"['m', 'a', 'd', 'u']",Indonesian,1.0
gula,"['g', 'u', 'l', 'a']",Indonesian,1.0
susu (2),"['s', 'u', 's', 'u']",Indonesian,0.0
memerah,"['m', 'e', 'm', 'e', 'r', 'a', 'h']",Indonesian,0.0
kéju,"['k', 'é/e', 'dʒ', 'u']",Indonesian,1.0
mentéga,"['m', 'e', 'n', 't', 'é/e', 'g', 'a']",Indonesian,1.0
minuman,"['m', 'i', 'n', 'u', 'm', 'a', 'n']",Indonesian,0.0
anggur,"['a', 'ŋ', 'g', 'u', 'r']",Indonesian,1.0
wine,"['w', 'i', 'n', 'e']",Indonesian,1.0
bir,"['b', 'i', 'r']",Indonesian,1.0
tuak,"['t', 'u', 'a', 'ʔ']",Indonesian,0.0
"telur, telor","['t', 'e', 'l', 'u', 'r']",Indonesian,0.0
kuning telur,"['k', 'u', 'n', 'i', 'ŋ', '+', 't', 'e', 'l', 'u', 'r']",Indonesian,0.0
memakai,"['m', 'e', 'm', 'a', 'k', 'aɪ']",Indonesian,0.0
mengenakan,"['m', 'e', 'ŋ', 'e', 'n', 'a', 'k', 'a', 'n']",Indonesian,0.0
pakaian,"['p', 'a', 'k', 'a', 'i', 'a', 'n']",Indonesian,0.0
baju,"['b', 'a', 'dʒ', 'u']",Indonesian,0.25
busana,"['b', 'u', 's', 'a', 'n', 'a']",Indonesian,1.0
tukang jahit,"['t', 'u', 'k', 'a', 'ŋ', '+', 'dʒ', 'a', 'h', 'i', 't']",Indonesian,0.0
kain,"['k', 'a', 'i', 'n']",Indonesian,0.0
wol,"['w', 'o', 'l']",Indonesian,1.0
linen,"['l', 'i', 'n', 'e', 'n']",Indonesian,1.0
katun,"['k', 'a', 't', 'u', 'n']",Indonesian,1.0
kapas,"['k', 'a', 'p', 'a', 's']",Indonesian,0.75
sutera,"['s', 'u', 't', 'e', 'r', 'a']",Indonesian,1.0
bulu,"['b', 'u', 'l', 'u']",Indonesian,0.0
kulit (binatang),"['k', 'u', 'l', 'i', 't', '+', 'b', 'i', 'n', 'a', 't', 'a', 'ŋ']",Indonesian,0.0
memintal,"['m', 'e', 'm', 'i', 'n', 't', 'a', 'l']",Indonesian,0.0
kumparan,"['k', 'u', 'm', 'p', 'a', 'r', 'a', 'n']",Indonesian,0.0
menenun,"['m', 'e', 'n', 'e', 'n', 'u', 'n']",Indonesian,0.0
alat tenun,"['a', 'l', 'a', 't', '+', 't', 'e', 'n', 'u', 'n']",Indonesian,0.0
menjahit,"['m', 'e', 'ɲ', 'a', 'h', 'i', 't']",Indonesian,0.0
jarum,"['dʒ', 'a', 'r', 'u', 'm']",Indonesian,0.0
pusut,"['p', 'u', 's', 'u', 't']",Indonesian,0.75
benang,"['b', 'e', 'n', 'a', 'ŋ']",Indonesian,0.0
mencelup,"['m', 'e', 'ɲ', 'e', 'l', 'u', 'p']",Indonesian,0.0
jubah,"['dʒ', 'u', 'b', 'a', 'h']",Indonesian,1.0
tangga,"['t', 'a', 'ŋ', 'g', 'a']",Indonesian,0.0
daster,"['d', 'a', 's', 't', 'e', 'r']",Indonesian,1.0
terusan,"['t', 'e', 'r', 'u', 's', 'a', 'n']",Indonesian,0.0
gaun,"['g', 'a', 'u', 'n']",Indonesian,1.0
tunik,"['t', 'u', 'n', 'i', 'ʔ']",Indonesian,1.0
mantel,"['m', 'a', 'n', 't', 'e', 'l']",Indonesian,1.0
baju,"['b', 'a', 'dʒ', 'u']",Indonesian,0.25
keméja,"['k', 'e', 'm', 'é/e', 'dʒ', 'a']",Indonesian,1.0
blus,"['b', 'l', 'u', 's']",Indonesian,1.0
kaos,"['k', 'a', 'o', 's']",Indonesian,1.0
kerah,"['k', 'e', 'r', 'a', 'h']",Indonesian,1.0
rok,"['r', 'o', 'ʔ']",Indonesian,1.0
celana,"['tʃ', 'e', 'l', 'a', 'n', 'a']",Indonesian,1.0
seluar,"['s', 'e', 'l', 'u', 'a', 'r']",Indonesian,1.0
kaos (kaki),"['k', 'a', 'o', 's', '+', 'k', 'a', 'k', 'i']",Indonesian,1.0
sepatu,"['s', 'e', 'p', 'a', 't', 'u']",Indonesian,1.0
(sepatu) bot,"['s', 'e', 'p', 'a', 't', 'u', '+', 'b', 'o', 't']",Indonesian,1.0
tukang sepatu,"['t', 'u', 'k', 'a', 'ŋ', '+', 's', 'e', 'p', 'a', 't', 'u']",Indonesian,0.0
topi,"['t', 'o', 'p', 'i']",Indonesian,1.0
péci,"['p', 'é/e', 'tʃ', 'i']",Indonesian,1.0
ikat pinggang,"['i', 'k', 'a', 't', '+', 'p', 'i', 'ŋ', 'g', 'a', 'ŋ']",Indonesian,0.0
tali pinggang,"['t', 'a', 'l', 'i', '+', 'p', 'i', 'ŋ', 'g', 'a', 'ŋ']",Indonesian,0.0
sabuk,"['s', 'a', 'b', 'u', 'ʔ']",Indonesian,1.0
géspér,"['g', 'é/e', 's', 'p', 'é/e', 'r']",Indonesian,1.0
sarung tangan,"['s', 'a', 'r', 'u', 'ŋ', '+', 't', 'a', 'ŋ', 'a', 'n']",Indonesian,0.0
kerudung,"['k', 'e', 'r', 'u', 'd', 'u', 'ŋ']",Indonesian,1.0
tudung,"['t', 'u', 'd', 'u', 'ŋ']",Indonesian,0.0
cadar,"['tʃ', 'a', 'd', 'a', 'r']",Indonesian,1.0
"kantung, kantong","['k', 'a', 'n', 't', 'u', 'ŋ']",Indonesian,0.0
saku,"['s', 'a', 'k', 'u']",Indonesian,1.0
kancing,"['k', 'a', 'ɲ', 'i', 'ŋ']",Indonesian,0.0
jarum,"['dʒ', 'a', 'r', 'u', 'm']",Indonesian,0.0
peniti,"['p', 'e', 'n', 'i', 't', 'i']",Indonesian,0.75
perhiasan,"['p', 'e', 'r', 'h', 'i', 'a', 's', 'a', 'n']",Indonesian,0.0
permata,"['p', 'e', 'r', 'm', 'a', 't', 'a']",Indonesian,0.25
cincin,"['tʃ', 'i', 'ɲ', 'i', 'n']",Indonesian,0.0
gelang,"['g', 'e', 'l', 'a', 'ŋ']",Indonesian,0.0
kalung,"['k', 'a', 'l', 'u', 'ŋ']",Indonesian,0.0
manik-manik,"['m', 'a', 'n', 'i', 'k', '+', 'm', 'a', 'n', 'i', 'ʔ']",Indonesian,0.75
anting-anting,"['a', 'n', 't', 'i', 'ŋ', '+', 'a', 'n', 't', 'i', 'ŋ']",Indonesian,0.0
giwang,"['g', 'i', 'w', 'a', 'ŋ']",Indonesian,1.0
ikat kepala,"['i', 'k', 'a', 't', '+', 'k', 'e', 'p', 'a', 'l', 'a']",Indonesian,0.0
"serban, sorban","['s', 'e', 'r', 'b', 'a', 'n']",Indonesian,1.0
blangkon,"['b', 'l', 'a', 'ŋ', 'k', 'o', 'n']",Indonesian,1.0
